Date,IST:KOZAL: (Turkey)
2004-01,0
2004-02,0
2004-03,0
2004-04,5
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,3
2005-02,0
2005-03,2
2005-04,6
2005-05,2
2005-06,2
2005-07,0
2005-08,0
2005-09,0
2005-10,1
2005-11,1
2005-12,0
2006-01,0
2006-02,0
2006-03,1
2006-04,0
2006-05,1
2006-06,1
2006-07,0
2006-08,1
2006-09,1
2006-10,0
2006-11,<1
2006-12,0
2007-01,<1
2007-02,1
2007-03,<1
2007-04,1
2007-05,1
2007-06,0
2007-07,1
2007-08,0
2007-09,1
2007-10,1
2007-11,1
2007-12,<1
2008-01,0
2008-02,<1
2008-03,1
2008-04,<1
2008-05,1
2008-06,1
2008-07,<1
2008-08,1
2008-09,1
2008-10,<1
2008-11,<1
2008-12,0
2009-01,1
2009-02,1
2009-03,1
2009-04,<1
2009-05,<1
2009-06,1
2009-07,1
2009-08,<1
2009-09,0
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,2
2010-03,2
2010-04,2
2010-05,2
2010-06,1
2010-07,2
2010-08,1
2010-09,2
2010-10,2
2010-11,2
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,2
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,2
2012-11,1
2012-12,2
2013-01,2
2013-02,2
2013-03,3
2013-04,5
2013-05,6
2013-06,4
2013-07,3
2013-08,2
2013-09,3
2013-10,2
2013-11,2
2013-12,3
2014-01,7
2014-02,5
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,2
2014-08,2
2014-09,3
2014-10,4
2014-11,7
2014-12,6
2015-01,4
2015-02,4
2015-03,5
2015-04,4
2015-05,3
2015-06,2
2015-07,1
2015-08,2
2015-09,3
2015-10,3
2015-11,3
2015-12,4
2016-01,4
2016-02,4
2016-03,4
2016-04,2
2016-05,3
2016-06,3
2016-07,3
2016-08,7
2016-09,12
2016-10,7
2016-11,3
2016-12,3
2017-01,2
2017-02,4
2017-03,3
2017-04,2
2017-05,3
2017-06,4
2017-07,9
2017-08,11
2017-09,6
2017-10,6
2017-11,8
2017-12,9
2018-01,16
2018-02,18
2018-03,23
2018-04,28
2018-05,20
2018-06,17
2018-07,16
2018-08,14
2018-09,14
2018-10,16
2018-11,18
2018-12,11
2019-01,10
2019-02,12
2019-03,14
2019-04,12
2019-05,13
2019-06,9
2019-07,10
2019-08,12
2019-09,10
2019-10,8
2019-11,11
2019-12,11
2020-01,12
2020-02,11
2020-03,12
2020-04,14
2020-05,12
2020-06,15
2020-07,14
2020-08,12
2020-09,10
2020-10,14
2020-11,18
2020-12,29
2021-01,57
2021-02,100
2021-03,91
2021-04,60
2021-05,52
2021-06,49
2021-07,36
2021-08,32
2021-09,34
2021-10,33
2021-11,45
2021-12,49
2022-01,35
2022-02,26
2022-03,38
2022-04,41
